"","type","title","subtitle","from","date","link"
"1","Speech","Prime Minister's statement on coronavirus (COVID-19): 19 December 2020","Prime Minister Boris Johnson gave a statement at the coronavirus press conference.","Prime Minister's Office, 10 Downing Street and The Rt Hon Boris Johnson MP",2020-12-19,"https://www.gov.uk/government/speeches/prime-ministers-statement-on-coronavirus-covid-19-19-december-2020"
"2","Press release","UK Chief Medical Officers' statement on the self-isolation period: 11 December 2020","A change to the self-isolation period from 14 to 10 days has been announced.","Department of Health and Social Care",2020-12-11,"https://www.gov.uk/government/news/uk-chief-medical-officers-statement-on-the-self-isolation-period-11-december-2020"
"3","Decision","Regulatory approval of Pfizer / BioNTech vaccine for COVID-19","Information for healthcare professionals and the public about the Pfizer/BioNTech vaccine.","Medicines and Healthcare products Regulatory Agency",2020-12-02,"https://www.gov.uk/government/publications/regulatory-approval-of-pfizer-biontech-vaccine-for-covid-19"
"4","Press release","First wave of targeted Tier 3 community testing initiatives announced","67 local authorities have been given approval to begin enhanced testing support programmes as soon as Monday to drive down transmission rates in their areas.","Department of Health and Social Care",2020-12-12,"https://www.gov.uk/government/news/first-wave-of-targeted-tier-3-community-testing-initiatives-announced"
"5","Press release","London, South Essex, and South Hertfordshire to move to Tier 3 restrictions","Urgent action needed to reduce transmission of the virus in these areas.","Department of Health and Social Care",2020-12-14,"https://www.gov.uk/government/news/london-south-essex-and-south-hertfordshire-to-move-to-tier-3-restrictions"
"6","Written statement to Parliament","Review of local restriction tiers: 17 December 2020","A written statement from the Health and Social Care Secretary to the House of Commons giving an update on local restriction tiers in England.","Department of Health and Social Care and The Rt Hon Matt Hancock MP",2020-12-17,"https://www.gov.uk/government/speeches/review-of-local-restriction-tiers-17-december-2020"
"7","Speech","Prime Minister's statement on coronavirus (COVID-19): 16 December 2020","Prime Minister Boris Johnson gave a statement at the coronavirus press conference.","Prime Minister's Office, 10 Downing Street and The Rt Hon Boris Johnson MP",2020-12-16,"https://www.gov.uk/government/speeches/prime-ministers-statement-on-coronavirus-covid-19-16-december-2020"
"8","Press release","Staggered rollout of coronavirus testing for secondary schools and colleges","Testing offered to schools and colleges to minimise cases and transmission of the virus with return of students after Christmas","Department for Education, Department of Health and Social Care, The Rt Hon Gavin Williamson CBE MP, and The Rt Hon Matt Hancock MP",2020-12-17,"https://www.gov.uk/government/news/staggered-rollout-of-coronavirus-testing-for-secondary-schools-and-colleges"
"9","Press release","Prime Minister announces Tier 4: 'Stay At Home' Alert Level in response to new COVID variant","The Prime Minister has announced tougher restrictions for parts of England with a new Tier 4: ‘Stay at Home’ alert level.","Prime Minister's Office, 10 Downing Street and The Rt Hon Boris Johnson MP",2020-12-19,"https://www.gov.uk/government/news/prime-minister-announces-tier-4-stay-at-home-alert-level-in-response-to-new-covid-variant"
"10","News story","Test to Release: England introduces testing strategy for international arrivals","Tests will be at the cost of the traveller to protect the capacity of NHS Test and Trace.","Department for Transport, HM Treasury, Department of Health and Social Care, The Rt Hon Rishi Sunak MP, The Rt Hon Grant Shapps MP, and The Rt Hon Matt Hancock MP",2020-11-24,"https://www.gov.uk/government/news/test-to-release-england-introduces-testing-strategy-for-international-arrivals"
"11","Press release","Confirmation of guidance to vaccination centres on managing allergic reactions following COVID-19 vaccination with the Pfizer/BioNTech vaccine","Statement by Dr June Raine, Chief Executive of the Medicines and Healthcare products Regulatory Agency on the guidance to vaccination centres on managing allergic reactions following COVID-19 vaccination with the Pfizer/BioNTech vaccine","Medicines and Healthcare products Regulatory Agency",2020-12-09,"https://www.gov.uk/government/news/confirmation-of-guidance-to-vaccination-centres-on-managing-allergic-reactions-following-covid-19-vaccination-with-the-pfizer-biontech-vaccine"
"12","News story","UK authorises Pfizer/BioNTech COVID-19 vaccine","Government authorises first COVID-19 vaccine on independent advice of medicines regulator.","Department of Health and Social Care",2020-12-02,"https://www.gov.uk/government/news/uk-authorises-pfizer-biontech-covid-19-vaccine"
"13","Press release","Statement from Chief Medical Officer, Professor Chris Whitty, about new strain of COVID-19","New strain of COVID-19 reported to World Health Organization.","Department of Health and Social Care",2020-12-19,"https://www.gov.uk/government/news/statement-from-chief-medical-officer-professor-chris-whitty-about-new-strain-of-covid-19"
"14","Press release","New package to support and enforce self-isolation","A new package has been announced to support and enforce self-isolation.","Prime Minister's Office, 10 Downing Street",2020-09-20,"https://www.gov.uk/government/news/new-package-to-support-and-enforce-self-isolation"
"15","News story","Test to Release for International Travel goes live","Transport Secretary announces launch of COVID-19 testing strategy for international arrivals.","Department for Transport, Department of Health and Social Care, and The Rt Hon Grant Shapps MP",2020-12-15,"https://www.gov.uk/government/news/test-to-release-for-international-travel-goes-live"
"16","News story","Government extends Furlough to March and increases self-employed support","Workers across the United Kingdom will benefit from increased support with a five-month extension of the furlough scheme into Spring 2021, the Chancellor announced today, 5 November.","HM Treasury",2020-11-05,"https://www.gov.uk/government/news/government-extends-furlough-to-march-and-increases-self-employed-support"
"17","Press release","New legal duty to self-isolate comes into force today","From today, people in England will be required by law to self-isolate if they test positive or are contacted by NHS Test and Trace.","Department of Health and Social Care",2020-09-28,"https://www.gov.uk/government/news/new-legal-duty-to-self-isolate-comes-into-force-today"
"18","Press release","Rules on carrying over annual leave to be relaxed to support key industries during COVID-19","Workers who have not taken all of their statutory annual leave entitlement due to COVID-19 will now be able to carry it over into the next 2 leave years.","Department for Business, Energy & Industrial Strategy, Department for Environment, Food & Rural Affairs, The Rt Hon George Eustice MP, and The Rt Hon Alok Sharma MP",2020-03-27,"https://www.gov.uk/government/news/rules-on-carrying-over-annual-leave-to-be-relaxed-to-support-key-industries-during-covid-19"
"19","Press release","More than 137,000 people in UK receive first dose of COVID vaccine in one week","The majority of the vaccines have been administered to the over-80s, care home workers and NHS staff through more than 70 sites across the UK.","Department of Health and Social Care",2020-12-16,"https://www.gov.uk/government/news/more-than-137000-people-in-uk-receive-first-dose-of-covid-vaccine-in-one-week"
"20","Press release","Government to add COVID-19 to Vaccine Damage Payments Scheme","The government is taking this precautionary step in advance of a rollout of an authorised COVID-19 vaccine and in line with other immunisation programmes.","Department of Health and Social Care",2020-12-03,"https://www.gov.uk/government/news/government-to-add-covid-19-to-vaccine-damage-payments-scheme"
"21","News story","Travel corridor update, 3 December 2020","No changes to travel corridor exempt list.","Department for Transport",2020-12-03,"https://www.gov.uk/government/news/travel-corridor-update-3-december-2020"
"22","Press release","Royal Mail to collect COVID-19 test kits 7 days a week","Royal Mail is introducing a weekend extension for some priority postboxes from 21 November.","Department of Health and Social Care",2020-11-16,"https://www.gov.uk/government/news/royal-mail-to-collect-covid-19-test-kits-7-days-a-week"
"23","Oral statement to Parliament","Oral statement on review of coronavirus tiering restrictions in England","Oral statement by the Secretary of State for Health and Social Care on the outcome of the government's first formal review of tiering in England, which took place on 16 December 2020.","Department of Health and Social Care and The Rt Hon Matt Hancock MP",2020-12-17,"https://www.gov.uk/government/speeches/oral-statement-on-review-of-coronavirus-tiering-restrictions-in-england"
"24","Press release","New payment for people self-isolating in highest risk areas","People on low incomes who need to self-isolate and are unable to work from home in areas with high incidence of COVID-19 will benefit from a new payment scheme.","Department of Health and Social Care and The Rt Hon Matt Hancock MP",2020-08-27,"https://www.gov.uk/government/news/new-payment-for-people-self-isolating-in-highest-risk-areas"
"25","Oral statement to Parliament","Sharp rise in coronavirus numbers and a new variant","The Health and Social Care Secretary spoke to the House of Commons about the coronavirus situation, vaccinations and new areas to be put into Tier 3.","Department of Health and Social Care and The Rt Hon Matt Hancock MP",2020-12-14,"https://www.gov.uk/government/speeches/sharp-rise-in-coronavirus-numbers-and-a-new-variant"
"26","Decision","Royal London Borough of Greenwich temporary continuity direction","The Coronavirus Act 2020 Royal London Borough of Greenwich temporary continuity direction.","Department for Education and The Rt Hon Gavin Williamson CBE MP",2020-12-14,"https://www.gov.uk/government/publications/royal-london-borough-of-greenwich-temporary-continuity-direction"
"27","Press release","More rapid COVID-19 tests to be rolled out across England","600,000 lateral flow tests to be sent out this week to kick-start the significant expansion of testing, followed by weekly local allocations.","Department of Health and Social Care and The Rt Hon Matt Hancock MP",2020-11-09,"https://www.gov.uk/government/news/more-rapid-covid-19-tests-to-be-rolled-out-across-england"
"28","Correspondence","Guidance to parents and guardians: when you should book a coronavirus test for your child","Letter from the Chief Nurse and Interim Chief Medical Officer of NHS Test and Trace on when parents and guardians should book a coronavirus (COVID-19) test for their child.","Department of Health and Social Care",2020-09-25,"https://www.gov.uk/government/publications/guidance-to-parents-and-guardians-when-you-should-book-a-coronavirus-test-for-your-child"
"29","Press release","New NHS Test and Trace plan to support return to more normal way of life","The NHS Test and Trace business plan sets out a strategy to increase the speed and reach of testing and tracing, working with local partnerships.","Department of Health and Social Care",2020-12-10,"https://www.gov.uk/government/news/new-nhs-test-and-trace-plan-to-support-return-to-more-normal-way-of-life"
